


















排名 英雄名 出场次数 pick比率 ban比率 胜率 总击杀（场均） 总助攻（场均） 总死亡（场均） KDA 常用队员
1 永猎双子 2 0% 0% 50% 8(4) 5(2.5) 1(0.5) 13 Xun
2 瓦洛兰之盾 3 0% 0% 66% 1(0.3) 32(10.6) 3(1) 11 Southwind
3 堕落天使 1 0% 0% 100% 0(0) 10(10) 1(1) 10 ShiauC
4 虚空掠夺者 1 0% 0% 100% 1(1) 7(7) 0(0) 8 SofM
5 炼金男爵 13 3% 6% 61% 9(0.6) 121(9.3) 18(1.3) 7.22 Crisp
6 暮光星灵 24 6% 8% 54% 76(3.1) 121(5) 29(1.2) 6.79 FoFo
7 无双剑姬 13 3% 0% 76% 54(4.1) 51(3.9) 16(1.2) 6.56 Wayward
8 荣耀行刑官 4 1% 2% 75% 36(9) 29(7.2) 11(2.7) 5.9 JackeyLove
9 沙漠皇帝 10 2% 2% 60% 45(4.5) 54(5.4) 17(1.7) 5.82 Scout
10 暗夜猎手 3 0% 0% 33% 18(6) 11(3.6) 5(1.6) 5.8 Puff
11 发条魔灵 71 20% 11% 57% 226(3.1) 499(7) 133(1.8) 5.45 Doinb
12 时光守护者 3 0% 1% 33% 4(1.3) 27(9) 6(2) 5.16 Meiko
13 祖安花火 59 17% 51% 61% 283(4.7) 347(5.8) 128(2.1) 4.92 Uzi
14 正义巨像 34 9% 11% 61% 85(2.5) 276(8.1) 74(2.1) 4.87 Doinb
15 九尾妖狐 59 16% 11% 47% 197(3.3) 395(6.6) 124(2.1) 4.77 Scout
16 逆羽 28 7% 2% 60% 103(3.6) 140(5) 51(1.8) 4.76 Viper
17 暴走萝莉 256 71% 17% 55% 1112(4.3) 1385(5.4) 524(2) 4.76 Viper
18 水晶先锋 1 0% 0% 100% 2(2) 12(12) 3(3) 4.66 Karsa
19 戏命师 26 7% 3% 42% 99(3.8) 154(5.9) 55(2.1) 4.6 Viper
20 诡术妖姬 54 15% 45% 40% 192(3.5) 246(4.5) 97(1.7) 4.51 FoFo
21 卡牌大师 33 9% 45% 45% 69(2) 202(6.1) 61(1.8) 4.44 Scout
22 英勇投弹手 91 25% 27% 51% 320(3.5) 483(5.3) 183(2) 4.38 Care
23 战争之影 81 22% 26% 56% 234(2.8) 664(8.1) 207(2.5) 4.33 Tian
24 影流之主 4 1% 0% 75% 19(4.7) 24(6) 10(2.5) 4.3 SofM
25 放逐之刃 4 1% 0% 75% 15(3.7) 28(7) 10(2.5) 4.3 Breathe
26 皮城女警 23 6% 53% 39% 101(4.3) 76(3.3) 43(1.8) 4.11 Viper
27 符文法师 111 31% 40% 49% 323(2.9) 671(6) 244(2.1) 4.07 Scout
28 幻翎 68 19% 24% 57% 48(0.7) 696(10.2) 185(2.7) 4.02 Meiko
29 黑暗之女 2 0% 0% 50% 10(5) 14(7) 6(3) 4 Flandre
30 暗黑元首 20 5% 8% 55% 64(3.2) 113(5.6) 45(2.2) 3.93 xiye
31 邪恶小法师 13 3% 3% 53% 51(3.9) 54(4.1) 27(2) 3.88 Care
32 仙灵女巫 34 9% 4% 41% 16(0.4) 265(7.7) 74(2.1) 3.79 Mark
33 涤魂圣枪 11 3% 1% 45% 28(2.5) 55(5) 22(2) 3.77 Lwx
34 圣枪游侠 5 1% 0% 60% 19(3.8) 29(5.8) 13(2.6) 3.69 Rookie
35 惩戒之箭 5 1% 0% 40% 18(3.6) 26(5.2) 12(2.4) 3.66 Betty
36 魂锁典狱长 87 24% 27% 58% 63(0.7) 804(9.2) 237(2.7) 3.65 Meiko
