""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
排名,队员,位置,出场次数,MVP次数,总击杀(场均),总助攻(场均),总死亡(场均),KDA,场均金钱,场均补刀,场均插眼,场均排眼,场均参团率,场均对位经济差,伤害占比,经济占比
1,Hope,ADC,14,2,165(5),206(6.2),60(1.8),8,14467,299,16,11,68%,820,26%,24%
2,Light,ADC,16,9,221(5.2),222(5.2),57(1.3),8,14759,306,12,12,75%,954,28%,25%
3,knight,中单,17,6,183(4),257(5.7),75(1.6),8,13087,281,10,8,70%,726,28.9%,23%
4,Iwandy,辅助,3,0,5(0.6),87(10.8),18(2.2),8,7454,37,54,12,74%,363,5%,12%
5,Photic,ADC,16,10,223(5.5),249(6.2),74(1.8),7,14950,291,16,15,70%,1283,28.9%,24%
6,Xiaohu,中单,16,10,170(4.3),238(6.1),68(1.7),7,13827,283,15,10,69%,1788,28.9%,22%
7,SwordArt,辅助,1,0,2(0.6),29(9.6),6(2),7,7429,30,51,7,70%,-212,5%,12%
8,Rookie,中单,16,10,169(4.2),304(7.6),83(2),7,13187,260,10,9,70%,808,27%,21%
9,Scout,中单,18,14,183(4),275(6.1),82(1.8),7,13266,271,12,6,72%,1092,25%,23%
10,Doinb,中单,16,5,117(2.7),329(7.8),92(2.1),7,12938,277,10,9,75%,480,26%,22%
11,Betty,ADC,16,8,165(4.1),235(5.8),88(2.2),7,13700,291,12,11,75%,-847,28.9%,24%
12,Mark,辅助,12,2,21(0.6),288(9),61(1.9),7,7388,39,48,12,67%,360,6%,13%
13,Yagao,中单,16,6,124(3.2),236(6.2),73(1.9),7,12848,264,10,8,60%,781,24%,21%
14,Angel,中单,17,7,129(3),243(5.6),56(1.3),6,13161,280,14,9,68%,561,24%,21%
15,Kanavi,打野,16,10,156(4.1),257(6.7),109(2.8),6,11588,187,11,13,69%,1258,17%,19%
16,JackeyLove,ADC,17,7,186(4.1),257(5.7),101(2.2),6,13856,283,13,12,70%,489,28%,24%
17,Karsa,打野,15,7,125(3.2),293(7.7),102(2.6),6,11130,173,15,13,66%,438,12%,18%
18,FoFo,中单,18,9,172(3.3),317(6),95(1.8),6,12827,268,13,6,66%,-161,27%,21%
19,Viper,ADC,18,7,199(4.4),244(5.4),80(1.7),6,14180,298,18,12,69%,748,31%,24%
20,GALA,ADC,16,2,169(4.3),218(5.5),72(1.8),6,14869,317,11,13,66%,902,28%,24%
21,Forge,中单,12,3,86(2.8),198(6.6),77(2.5),6,12660,267,13,8,67%,-424,24%,22%
22,xiye,中单,7,6,66(3.6),111(6.1),37(2),6,11885,234,11,7,77%,727,27%,22%
23,Tarzan,打野,16,6,94(2.2),343(8.1),118(2.8),6,10183,157,14,10,74%,-61,13%,17%
24,Missing,辅助,16,3,28(0.7),387(10.1),115(3),6,7684,35,53,10,69%,529,6%,13%
25,Weiwei,打野,18,8,124(2.3),373(7.1),159(3),6,10793,174,13,13,67%,178,12%,18%
26,Wei,打野,16,4,96(2.4),269(6.8),93(2.3),6,10573,162,15,14,62%,244,13%,17%
27,Doggo,ADC,16,4,173(4),220(5.1),97(2.2),5,14520,312,18,10,68%,980,28.9%,24%
28,Elk,ADC,16,7,213(5.1),188(4.5),111(2.7),5,14519,305,13,13,74%,-136,31%,25%
29,Jiejie,打野,18,4,100(2.2),339(7.5),101(2.2),5,10230,157,13,13,69%,161,12%,17%
30,Hang,辅助,17,4,22(0.4),393(8.5),150(3.2),5,7318,37,49,11,72%,-78,7%,12%
31,beishang,打野,10,0,54(2.1),179(7.1),69(2.7),5,9734,152,10,12,69%,-717,13%,17%
32,ppgod,辅助,16,1,38(0.9),410(10.2),106(2.6),5,8069,47,45,8,66%,674,6%,13%
33,Strive,中单,17,6,118(2.8),210(5),81(1.9),5,12925,288,13,7,68%,-239,25%,21%
34,huanfeng,ADC,17,6,171(3.9),168(3.9),72(1.6),5,14982,336,14,11,62%,587,27%,24%
