

















排名 队员 位置 出场次数 MVP次数 总击杀(场均) 总助攻(场均) 总死亡(场均) KDA 场均金钱 场均补刀 场均插眼 场均排眼 场均参团率 场均对位经济差 伤害占比 经济占比
1 Hope ADC 14 2 165(5) 206(6.2) 60(1.8) 8 14467 299 16 11 68% 820 26% 24%
2 Light ADC 16 9 221(5.2) 222(5.2) 57(1.3) 8 14759 306 12 12 75% 954 28% 25%
3 Iwandy 辅助 3 0 5(0.6) 87(10.8) 18(2.2) 8 7454 37 54 12 74% 363 5% 12%
4 Photic ADC 16 10 223(5.5) 249(6.2) 74(1.8) 7 14950 291 16 15 70% 1283 28.9% 24%
5 SwordArt 辅助 1 0 2(0.6) 29(9.6) 6(2) 7 7429 30 51 7 70% -212 5% 12%
6 Scout 中单 16 11 143(3.8) 237(6.4) 67(1.8) 7 12753 261 12 6 72% 1020 25% 22%
7 Xiaohu 中单 15 10 155(4.3) 217(6) 63(1.7) 7 14011 287 15 10 69% 1794 28.9% 22%
8 Rookie 中单 16 10 169(4.2) 304(7.6) 83(2) 7 13187 260 10 9 70% 808 27% 21%
9 Viper ADC 16 7 168(4.5) 200(5.4) 65(1.7) 7 13751 287 18 12 70% 825 31% 24%
10 Doinb 中单 16 5 117(2.7) 329(7.8) 92(2.1) 7 12938 277 10 9 75% 480 26% 22%
11 Betty ADC 16 8 165(4.1) 235(5.8) 88(2.2) 7 13700 291 12 11 75% -847 28.9% 24%
12 Yagao 中单 16 6 124(3.2) 236(6.2) 73(1.9) 7 12848 264 10 8 60% 781 24% 21%
13 Care 中单 5 2 38(2.9) 98(7.5) 27(2) 6 11965 244 20 12 69% 262 21% 20%
14 knight 中单 16 5 157(3.8) 236(5.7) 69(1.6) 6 12970 281 10 8 69% 574 28.9% 22%
15 Kanavi 打野 16 10 156(4.1) 257(6.7) 109(2.8) 6 11588 187 11 13 69% 1258 17% 19%
16 Angel 中单 16 7 116(2.9) 210(5.3) 50(1.2) 6 12913 276 13 9 69% 701 25% 22%
17 Mark 辅助 11 1 16(0.5) 253(9) 56(2) 6 7336 41 48 12 67% 343 6% 13%
18 Clid 打野 11 3 77(2.5) 214(7.1) 68(2.2) 6 10524 164 14 14 75% 384 14% 18%
19 Karsa 打野 15 7 125(3.2) 293(7.7) 102(2.6) 6 11130 173 15 13 66% 438 12% 18%
20 FoFo 中单 16 8 139(3.1) 280(6.3) 76(1.7) 6 12970 273 14 7 66% -110 27% 21%
21 Jiejie 打野 16 4 80(2.1) 281(7.5) 77(2) 6 9965 154 12 13 69% 353 12% 17%
22 GALA ADC 15 2 157(4.3) 195(5.4) 64(1.7) 6 15118 323 11 14 65% 828 28% 24%
23 Doggo ADC 14 4 141(4) 190(5.4) 78(2.2) 6 14748 316 19 11 69% 1140 28.9% 24%
24 Forge 中单 12 3 86(2.8) 198(6.6) 77(2.5) 6 12660 267 13 8 67% -424 24% 22%
25 xiye 中单 7 6 66(3.6) 111(6.1) 37(2) 6 11885 234 11 7 77% 727 27% 22%
26 Tarzan 打野 16 6 94(2.2) 343(8.1) 118(2.8) 6 10183 157 14 10 74% -61 13% 17%
27 JackeyLove ADC 16 7 173(4.2) 229(5.5) 94(2.2) 6 13823 281 13 12 71% 485 28% 24%
28 Missing 辅助 16 3 28(0.7) 387(10.1) 115(3) 6 7684 35 53 10 69% 529 6% 13%
29 Strive 中单 16 5 109(2.8) 189(4.9) 68(1.7) 5 13159 294 13 7 67% -117 26% 22%
30 huanfeng ADC 16 6 156(4) 147(3.7) 63(1.6) 5 14725 331 13 11 64% 687 27% 25%
31 Wei 打野 15 3 84(2.3) 251(6.9) 87(2.4) 5 10653 163 16 14 62% 300 13% 17%
32 Elk ADC 16 7 213(5.1) 188(4.5) 111(2.7) 5 14519 305 13 13 74% -136 31% 25%
33 Tian 打野 12 4 71(2.3) 225(7.5) 86(2.8) 5 10041 161 14 11 68% 105 12% 17%
