排名 战队 出场次数 胜/负 胜率 总击杀(场均) 总死亡(场均) 场均插眼 场均排眼 场均金钱 场均大龙 场均小龙
1 V5 16 14/2 87% 669(16.7) 467(11.6) 96 55 60372 0.8 2.6
2 RNG 16 12/4 75% 586(15) 445(11.4) 111 53 60360 0.8 2.6
3 TES 17 12/5 70% 625(13.8) 509(11.3) 102 52 57457 0.6 2.4
4 WBG 17 12/5 70% 543(12.6) 517(12) 118 56 59414 0.8 2
5 JDG 16 11/5 68% 593(15.6) 478(12.5) 100 51 58689 0.7 2.7
6 LNG 16 11/5 68% 587(13.9) 506(12) 101 48 57958 0.6 2.1
7 EDG 18 11/7 61% 635(14.1) 525(11.6) 105 51 57922 0.7 2.4
8 BLG 18 10/8 55% 735(14.1) 670(12.8) 113 51 59628 0.7 2.3
9 RA 17 8/9 47% 481(11.4) 566(13.4) 103 53 57710 0.6 2.4
10 FPX 17 8/9 47% 572(12.4) 615(13.3) 102 52 56989 0.6 2.3
11 OMG 16 6/10 37% 519(12.6) 610(14.8) 104 45 54290 0.7 2
12 UP 16 5/11 31% 538(13.1) 645(15.7) 104 47 55901 0.5 1.8
13 AL 16 5/11 31% 528(13.2) 577(14.4) 101 47 56211 0.6 2.1
14 IG 16 5/11 31% 477(12.5) 574(15.1) 108 49 55641 0.6 2.3
15 WE 16 4/12 25% 451(11.2) 544(13.6) 97 47 52611 0.5 1.8
16 TT 16 3/13 18% 398(9.9) 534(13.3) 100 45 52078 0.4 1.7
17 LGD 16 3/13 18% 506(12) 680(16.1) 92 46 53421 0.4 1.7


